Epoch,Train_Cosine_Loss,Val_Cosine_Sim,Learning_Rate,Time_sec
1,0.1552,0.8753,0.000049,2994.7
2,0.1357,0.8792,0.000048,2992.9
3,0.1310,0.8828,0.000045,2978.7
4,0.1285,0.8842,0.000042,2970.2
5,0.1268,0.8856,0.000038,2968.6
6,0.1255,0.8868,0.000033,2967.6
7,0.1243,0.8878,0.000028,2964.2
8,0.1235,0.8886,0.000022,2963.8
9,0.1229,0.8888,0.000017,2971.9
10,0.1226,0.8892,0.000013,2971.0
11,0.1224,0.8894,0.000008,2973.9
12,0.1224,0.8894,0.000005,2974.2
13,0.1224,0.8894,0.000002,3044.5
14,0.1224,0.8894,0.000001,3044.9
